AGE,INITIAL HIRE DATE,JOB CATEGORY,EMPLOYEE ANNUAL BASE SALARY,EMPLOYEE HOME DEPARTMENT,PRIMARY WORKING TITLE
39,2-Jan-18,"Research Professional, Physical Sciences,  Senior Research Scholar",97818,Nuclear Engineering,Senior Research Scholar
71,13-Oct-75,Field Faculty AC,90578,West District- Cleveland,"Extension Agent [04,22]"
32,5-Sep-22,Research / Sponsored Projects Development Professional,77760,Ctr Fam & Community Engagement,Asst Director
50,27-Sep-06,"Chief Administrator, Major Center/Institute AD",142388,Fitts Dep Ind & Syst Eng-ERGO,Senior Executive Director
37,25-Aug-21,Assistant/Associate Coach-Strength and Conditioning,53820,Athletics-Camp Equip-Weight Rm,Asst Coach
37,1-Sep-16,"Research Professional, Physical Sciences, Research Assistant",40000,"Textile Engineering, Chemistry",Research Asst
50,1-Nov-06,Pharmacist AD,122414,CVM Teaching Hospital,Pharmacist
39,1-Dec-16,"IT Client Support Professional, Specialist",81120,Acad Stu Aff-Tech Services,Integration&Solutions Prof II
36,1-Jun-16,Associate Professor,213200,Chemical & Biomolecular Engr,"Assoc Prof, Univ Fac Scholar"
38,9-Apr-08,Library Paraprofessional,55278,Libraries,University Library Specialist
24,22-Aug-22,Animal Care Technician,46800,CVM Teaching Hospital,Medical Support Tech - Shift
29,10-Jul-23,"IT Applications Professional, Programmer Analyst",96000,Biological Sciences,IT Bus Intelli/Data AnalysisII
59,30-Oct-17,"Laboratory Professional, Physical Sciences, Lab Coordinator",76440,BTEC-Biomfg Training Ed Ctr,BTEC Scientist
52,16-Aug-01,"Director, Subdivision/Unit/Program AD",137931,Shelton Leadership Center,Director
30,21-Mar-22,Research Asst/Technician/Technologist,47000,Entomology & Plant Pathology,Research Technician-Nonexempt
42,17-Jul-14,Associate Professor,118781,CAMCORE-Cooperative,Director
42,1-Aug-11,"Instructional Design / Instructional Media Professional, Specialist",72122,"Parks, Recreation & Tourism Mg",Instructional Technologist
24,19-Jun-23,Veterinary Technician,37440,CVM Teaching Hospital,Medical Support Tech - Shift
27,15-Aug-22,Food Prep Worker,34591,Dining and Catering Operations,Food Service Technician-Shift
42,13-Oct-03,"Business Operations Professional, Dept Business Mgr",96442,Friday Institute,Business Officer
61,12-Jul-04,Lecturer,100814,Computer Science-engr,Lecturer
41,28-Nov-22,Department Assistant,49920,Wellness and Recreation,University Program Associate
41,27-Sep-16,Foodservice Lead/Supervisor,40044,Dining and Catering Operations,Food Service Technician-Shift
65,8-Oct-18,Groundskeeping Lead/Supervisor,53164,G&BS-Grounds,Horticultural Specialist
41,6-Aug-12,Associate Professor,133802,Electrical & Computer Engr.,Assoc Professor
39,4-Jan-03,"Academic Advising Professional, Advisor/Coordinator",79550,Engineering-Academic Affairs,Coordinator
26,17-May-21,Academic Services Professional,45760,Acad Stu Aff-Assessment,Program Coordinator
42,11-Aug-11,Foodservice Lead/Supervisor,40605,Dining and Catering Operations,Food Service Supervisor-Shift
36,25-Jun-18,"Extension / Engagement / Public Service Professional, Agricultural",63642,Integrated Pest Mgmt-Research,Extension Assoc
35,20-Jun-22,"Development / Fundraising Professional, Major Gifts Sr.",99029,University Development,"Dir, Philanthropy I"
26,6-Mar-23,Administrative / Office / Clerical Lead,37440,South Central District - Harne,COSS Administrative Assistant
49,17-Aug-06,Library Assistant,55278,Libraries,University Library Technician
45,1-Feb-17,Assistant Professor,68482,ELPHD,Teaching Asst Professor
59,29-Aug-06,Custodian / Housekeeper,35463,Housekeeping Svcs-Reg3,Building Environmental Technic
53,1-Nov-23,Extension / Engagement / Public Service Professional,51000,South Central District - Harne,Asst Extension Agent [04]
65,1-Jan-07,Parking / Transportation Management Professional,95692,Alumni Engagement,University Program Manager
67,31-Aug-10,Lecturer,82400,Fitts Dept Indust & Syst Engr,Lecturer
66,1-Sep-94,"Extension / Engagement / Public Service Professional, Agricultural",68738,Forestry Extension,Program Coordinator
63,1-Nov-92,Professor,222543,Physics,Professor
23,5-Jan-22,Animal Care Technician,34445,CVM Teaching Hospital,Medical Support Tech - Shift
69,2-May-12,"Research Professional, Life Sciences, Principal Research Scholar",87840,Entomology & Plant Pathology,Principal Research Scholar
30,1-Jul-21,Assistant Professor,80730,Biomedical Program - ENG,Asst Teaching Professor
42,11-Oct-21,Department Assistant,57373,Graduate School-Dean's Office,University Program Associate
78,1-Jun-87,Professor,222704,Dept Molecular Biomedical Scie,Professor
73,16-Aug-84,Professor,139897,Philosophy & Religious Studies,Professor
40,13-May-04,General Maintenance Worker,35463,Housekeeping Services-Reg1,Building Environmental Technic
37,19-Jun-17,Assistant Professor,92925,Biomedical Program - ENG,Asst Research Professor
46,1-Jul-09,"Extension / Engagement / Public Service Professional, Agricultural",84112,Agricultural & Human Sciences,Program Director
33,27-Oct-22,"IT (Information Technology) Professional, IT Architect",130000,Crop & Soil Sciences,IT Architect/Engineer I
39,6-Aug-02,"Business Operations Professional, Dept Business Mgr",95680,Statistics,Business Manager I
30,5-Aug-20,"Academic Services Professional, Study Abroad Advisor",53040,NC State Prague,Program Coordinator
59,23-Apr-01,"Extension / Engagement / Public Service Professional, Agricultural",88232,Ag And Natural Resources/comm,Program Manager
32,6-Jan-20,"Clerk, Materials",42299,Property Management,Support Services Associate
47,5-Nov-18,"Research Professional, Life Sciences, Research Scholar",78000,For & Envir Res Acad Research,Research Scholar
38,17-Jan-11,Academic Advising Professional,79768,PCOM OUP,Senior Associate Director
45,16-Mar-21,"Research Professional, Life Sciences",49084,Forest Biomaterials,Visiting Scholar
65,1-Feb-19,"Custodian / Housekeeper, Floor Maintenance",36488,Housekeeping Services-Reg1,Building Enviro Tech'n - Shift
46,10-Jan-05,Associate Professor,98856,Fitts Dept Indust & Syst Engr,Assoc Teaching Professor
32,4-Jan-22,"IT Applications Professional, Web Developer",72119,UHR-Marketing Comm & Tech Sup,IT Web Designer/Developer I
57,18-Sep-18,Custodian / Housekeeper,34423,Student Centers,Building Enviro Tech'n - Shift
48,15-Aug-05,Research Asst/Technician/Technologist,47958,Crop & Soil Sciences,Research Technician-Nonexempt
27,31-Aug-16,"Student Activities Professional, Intramural/Recreation Coordinator",49920,Wellness and Recreation,Coordinator
68,23-Jul-18,Research / Sponsored Projects Development Professional,214069,NC Food Innovation Lab,Director
65,6-Jul-04,"Business Operations Professional, Dept Business Mgr",88265,University Housing,Business Officer
36,1-Jul-23,Lecturer,90000,Economics-Poole COM,Lecturer
51,1-Jul-06,Associate Professor,106788,"Marine, Earth And Atmospheric",Assoc Professor
36,21-Oct-19,"Student Activities Professional, Officer",69508,Wellness and Recreation,Asst Director
34,16-Mar-20,Student Admissions / Recruitment Professional,83200,MBA Program-Poole COM,Assoc Director
36,1-Jul-23,Associate Professor,133000,Civil Const & Environ Engineer,Assoc Professor
33,16-Aug-15,Assistant Professor,116480,Computer Science-engr,Asst Research Professor
76,16-Aug-90,Professor,118682,ELPHD,Professor
68,10-Mar-23,"Research Professional, Engineering",87880,Minerals Research Laboratory,Mineral Dressing Engineer
47,6-Jun-22,"IT Systems Support Professional, Systems Programmer Sr.",104411,Shared Services,IT System Administrator II
47,16-Jun-23,"Research Professional, Life Sciences, Research Assistant",55120,Entomology & Plant Pathology,Research Asst
37,28-Mar-14,Associate Professor,120640,Civil Const & Environ Engineer,Assoc Professor
29,17-Jul-18,Accounting Professional,65520,Mechanical & Aerospace Engr,Accountant
49,14-May-01,Extension / Engagement / Public Service Professional,72444,South Central District- Rowan,"ExtCounty Dir [01,13]"
45,1-Jan-03,"Academic Services Professional, Support Center Coordinator",91520,Acad Sup Prog For Stu Athl,Senior Associate Director
44,1-Dec-23,Functional Paraprofessional,32562,North Central District- Guilfo,Program Assistant [04]
46,12-Feb-13,IT Technical Support/Paraprofessional,58562,DELTA,Technology Support Technician
28,26-Aug-14,"Research Professional, Social Sciences, Research Assistant",52000,Friday Institute,Research Asst
52,1-Jan-01,"Trainer / Organizational Development Professional, Specialist",73173,Entomology & Plant Pathology,Coordinator
45,1-Jan-06,Research Asst/Technician/Technologist,51219,Arboretum in Hort Science Dept,Horticultural Specialist
39,10-Aug-05,"IT Systems Support Professional, Systems Administrator",124931,DELTA,IT System Administrator III
24,24-Jul-23,Administrative Assistant,45834,Facilities Human Resources,Administrative Support Spec
