Trial,Result
1,R
2,R
3,L
4,R
5,L
6,L
7,L
8,R
9,L
10,R
11,L
12,R
13,R
14,L
15,L
16,L
17,R
18,R
19,L
20,L
21,L
22,L
23,L
24,L
25,L
26,L
27,L
28,R
29,L
30,R
31,L
32,L
33,R
34,R
35,R
36,R
37,R
38,L
39,L
40,R
41,L
42,R
43,L
44,R
1,R
2,R
3,L
4,R
5,L
6,R
7,L
8,R
9,L
10,L
11,L
12,R
13,R
14,L
15,L
16,L
17,R
18,R
19,L
20,L
21,L
22,L
23,R
24,R
25,L
26,L
27,L
28,R
29,L
30,R
31,L
32,L
33,R
34,R
35,L
36,R
37,R
38,L
39,L
40,R
41,L
42,R
43,L
44,L
1,L
2,R
3,L
4,R
5,L
6,R
7,L
8,R
9,L
10,L
11,L
12,R
13,R
14,L
15,L
16,L
17,R
18,R
19,L
20,L
21,L
22,R
23,R
24,L
25,L
26,L
27,L
28,R
29,L
30,R
31,L
32,L
33,R
34,R
35,L
36,R
37,R
38,L
39,R
40,R
41,L
42,L
43,L
44,R
1,R
2,R
3,L
4,R
5,L
6,R
7,L
8,R
9,L
10,L
11,L
12,R
13,R
14,L
15,L
16,R
17,R
18,R
19,L
20,L
21,L
22,L
23,R
24,R
25,L
26,L
27,L
28,R
29,L
30,R
31,R
32,L
33,R
34,R
35,L
36,R
37,R
38,L
39,R
40,R
41,L
42,R
43,L
44,R
1,R
2,R
3,R
4,R
5,L
6,L
7,L
8,R
9,L
10,R
11,L
12,R
13,R
14,L
15,L
16,L
17,R
18,R
19,L
20,L
21,L
22,L
23,R
24,L
25,L
26,L
27,L
28,R
29,L
30,R
31,L
32,L
33,R
34,R
35,L
36,R
37,R
38,R
39,R
40,R
41,L
42,R
43,L
44,R
1,R
2,R
3,L
4,R
5,L
6,L
7,L
8,R
9,L
10,L
11,R
12,R
13,R
14,L
15,L
16,L
17,R
18,R
19,L
20,L
21,L
22,R
23,R
24,L
25,L
26,L
27,L
28,R
29,L
30,R
31,L
32,L
33,R
34,R
35,L
36,R
37,R
38,R
39,L
40,R
41,L
42,R
43,L
44,L
1,R
2,R
3,L
4,R
5,L
6,R
7,L
8,R
9,L
10,L
11,L
12,R
13,R
14,L
15,L
16,L
17,R
18,R
19,L
20,L
21,L
22,R
23,R
24,L
25,L
26,L
27,L
28,R
29,L
30,R
31,R
32,L
33,R
34,R
35,L
36,R
37,R
38,R
39,R
40,R
41,L
42,L
43,L
44,R
1,R
2,R
3,L
4,R
5,L
6,R
7,L
8,R
9,L
10,L
11,L
12,L
13,R
14,L
15,L
16,L
17,R
18,R
19,L
20,L
21,L
22,R
23,R
24,R
25,L
26,L
27,L
28,R
29,L
30,R
31,L
32,L
33,R
34,R
35,L
36,R
37,R
38,L
39,L
40,R
41,L
42,R
43,L
44,R
1,R
2,R
3,L 
4,R
5,L
6,R
7,L
8,R
9,L
10,R
11,R
12,R
13,R
14,L
15,L
16,L
17,R
18,R
19,L
20,L
21,L
22,R
23,R
24,R
25,L 
26,L
27,L
28,R
29,L
30,R
31,L
32,L
33,R
34,R
35,L
36,R
37,R
38,L
39,R
40,R
41,L
42,R
43,L
44,R
1,R
2,R
3,L
4,R
5,L
6,L
7,L
8,R
9,L
10,R
11,L
12,R
13,R
14,L
15,L
16,L
17,R
18,R
19,L
20,L
21,R
22,L
23,L
24,L
25,R
26,L
27,L
28,R
29,L
30,R
31,L
32,L
33,R
34,R
35,R
36,R
37,R
38,L
39,L
40,R
41,L
42,R
43,L
44,R
1,R
2,L
3,L
4,L
5,L
6,R
7,L
8,R
9,L
10,R
11,L
12,R
13,R
14,L
15,L
16,L
17,R
18,R
19,L
20,L
21,L
22,L
23,R
24,R
25,L
26,L
27,L
28,R
29,L
30,R
31,L
32,L
33,R
34,L
35,L
36,R
37,R
38,L
39,L
40,R
41,L
42,R
43,L
44,R
1,R
2,R
3,L
4,R
5,L
6,R
7,L
8,R
9,R
10,R
11,L
12,L
13,R
14,L
15,L
16,L
17,R
18,R
19,L
20,L
21,L
22,L
23,R
24,L
25,L
26,L
27,L
28,R
29,L
30,R
31,L
32,L
33,R
34,R
35,L
36,R
37,R
38,L
39,L
40,R
41,L
42,L
43,L
44,R
